method,region,quantile,lb,ub
pot_bt,KURIL_ISLANDS,0.995,-0.00313846320313824,0.011788534160969037
pot_bt,KURIL_ISLANDS,0.995,-0.0014879669391483139,0.01774091973545937
pot_bt,KURIL_ISLANDS,0.995,-0.002704971986285182,0.012503903533906948
pot_bt,KURIL_ISLANDS,0.995,-0.003331635021378317,0.011331871047088196
pot_bt,KURIL_ISLANDS,0.995,-0.0027713927892885296,0.014004124737651846
pot_bt,KURIL_ISLANDS,0.995,-0.0031953584779732002,0.013104160460173219
pot_bt,KURIL_ISLANDS,0.995,-0.002327172935678055,0.013313193960901186
pot_bt,KURIL_ISLANDS,0.995,-0.00272207885928446,0.012176862229048
pot_bt,KURIL_ISLANDS,0.995,-0.0031861178815090763,0.015604574134619796
pot_bt,KURIL_ISLANDS,0.995,-0.0012642506641932809,0.021821426354913367
pot_bt,KURIL_ISLANDS,0.995,-0.0024385356796250398,0.01241982057024561
pot_bt,KURIL_ISLANDS,0.995,-0.0025981810594701608,0.01145091199417125
pot_bt,KURIL_ISLANDS,0.995,-0.0022352272062486265,0.013540783430549928
pot_bt,KURIL_ISLANDS,0.995,-0.0034368330389238275,0.007581227637269591
pot_bt,KURIL_ISLANDS,0.995,-0.0027155829770544046,0.013646958176128817
pot_bt,KURIL_ISLANDS,0.995,-0.002270808326905292,0.009198103480228599
pot_bt,KURIL_ISLANDS,0.995,-0.0027599323234196696,0.012967178767375203
pot_bt,KURIL_ISLANDS,0.995,-0.0019163684036319294,0.011967706940291045
pot_bt,KURIL_ISLANDS,0.995,-0.002039634125862087,0.01617268163098283
pot_bt,KURIL_ISLANDS,0.995,-0.001964498689634245,0.013960254443602516
pot_bt,KURIL_ISLANDS,0.995,-0.0016386956405285294,0.014079824063725637
pot_bt,KURIL_ISLANDS,0.995,-0.0007296463110171779,0.01756640492717765
pot_bt,KURIL_ISLANDS,0.995,-0.0027566912128399314,0.014270100603234817
pot_bt,KURIL_ISLANDS,0.995,-0.00203253948411368,0.0137113101198465
pot_bt,KURIL_ISLANDS,0.995,-0.0013107902200480263,0.018444644647548938
pot_bt,KURIL_ISLANDS,0.995,-0.002309382441869315,0.008472834976208862
pot_bt,KURIL_ISLANDS,0.995,-0.0022672322840067197,0.014822938947426938
pot_bt,KURIL_ISLANDS,0.995,-0.0020856187386096656,0.01391270424168731
pot_bt,KURIL_ISLANDS,0.995,-0.002295005700141611,0.013505041386911462
pot_bt,KURIL_ISLANDS,0.995,-0.0025890022044979272,0.014019486968221832
pot_bt,KURIL_ISLANDS,0.995,-0.0028654891236213,0.010545269052994794
pot_bt,KURIL_ISLANDS,0.995,-0.0019663916811692474,0.015854695270915462
pot_bt,KURIL_ISLANDS,0.995,-0.0020676872143998233,0.01436327026502386
pot_bt,KURIL_ISLANDS,0.995,-0.0028370930584899734,0.013445891007392085
pot_bt,KURIL_ISLANDS,0.995,-0.003346137528251892,0.013277925823482842
pot_bt,KURIL_ISLANDS,0.995,-0.002686077431531796,0.011084185195443588
pot_bt,KURIL_ISLANDS,0.995,-0.0021314133575874995,0.015497110471512561
pot_bt,KURIL_ISLANDS,0.995,-0.0018484230023527316,0.010875524694882139
pot_bt,KURIL_ISLANDS,0.995,-0.0015822839498736935,0.015866712875238626
pot_bt,KURIL_ISLANDS,0.995,-0.002732714134718684,0.0143840254005472
pot_bt,KURIL_ISLANDS,0.995,-0.002511068156972887,0.012913990274349287
pot_bt,KURIL_ISLANDS,0.995,-0.002490541029777997,0.013924438467672898
pot_bt,KURIL_ISLANDS,0.995,-0.001544716900683502,0.014276475848552283
pot_bt,KURIL_ISLANDS,0.995,-0.0015155012280543253,0.017474344671901138
pot_bt,KURIL_ISLANDS,0.995,-0.002808416497718198,0.008594396101421358
pot_bt,KURIL_ISLANDS,0.995,-0.002854892728142502,0.014871512409990375
pot_bt,KURIL_ISLANDS,0.995,-0.0007765463044557178,0.016622341028126267
pot_bt,KURIL_ISLANDS,0.995,-0.0012195540146137634,0.017257369596778375
pot_bt,KURIL_ISLANDS,0.995,-0.0015180687700359302,0.016657166529974343
pot_bt,KURIL_ISLANDS,0.995,-0.002185667035065212,0.00865890003148212
pot_bt,KURIL_ISLANDS,0.995,-0.00352748207346349,0.009659368895940955
pot_bt,KURIL_ISLANDS,0.995,-0.0033280980136535625,0.011736607966726301
pot_bt,KURIL_ISLANDS,0.995,-0.0014093878605877152,0.018763181220379406
pot_bt,KURIL_ISLANDS,0.995,-0.0006927273648276219,0.0190362765725326
pot_bt,KURIL_ISLANDS,0.995,-0.001954560562150832,0.01634018820924402
pot_bt,KURIL_ISLANDS,0.995,-0.0017709146636302193,0.01707268228798668
pot_bt,KURIL_ISLANDS,0.995,-0.0032599133431940657,0.0109046310176157
pot_bt,KURIL_ISLANDS,0.995,-0.0023138089534130764,0.013283611008097652
pot_bt,KURIL_ISLANDS,0.995,-0.0017666401795490233,0.016397438632996787
pot_bt,KURIL_ISLANDS,0.995,-0.001143546854160515,0.015239297678349922
pot_bt,KURIL_ISLANDS,0.995,-0.0032959330357260597,0.009196630537215601
pot_bt,KURIL_ISLANDS,0.995,-0.001666072811636105,0.01570632617471922
pot_bt,KURIL_ISLANDS,0.995,-0.0014216423411656826,0.016614701995808858
pot_bt,KURIL_ISLANDS,0.995,-0.0021157397121721556,0.01030848054504026
pot_bt,KURIL_ISLANDS,0.995,-0.002865148418200388,0.010208759592450033
pot_bt,KURIL_ISLANDS,0.995,-0.002836099581272387,0.013779433706197849
pot_bt,KURIL_ISLANDS,0.995,-0.00245758220621742,0.015286363037913829
pot_bt,KURIL_ISLANDS,0.995,-0.0015791450239709972,0.015591256615625453
pot_bt,KURIL_ISLANDS,0.995,-0.003415765097658112,0.009634876424332162
pot_bt,KURIL_ISLANDS,0.995,-0.0012760657815696665,0.017554143481066813
pot_bt,KURIL_ISLANDS,0.995,-0.0009996983436737035,0.014556945746142828
pot_bt,KURIL_ISLANDS,0.995,-0.0022833275848771583,0.011507985329616466
pot_bt,KURIL_ISLANDS,0.995,-0.0032406227431290282,0.013844781180288451
pot_bt,KURIL_ISLANDS,0.995,-0.0016939090296252159,0.016216072191184497
pot_bt,KURIL_ISLANDS,0.995,-0.003237433420538323,0.009023818976434766
pot_bt,KURIL_ISLANDS,0.995,-0.003217443361861562,0.0066520308006724005
pot_bt,KURIL_ISLANDS,0.995,-0.0026532540958171522,0.01261016937399452
pot_bt,KURIL_ISLANDS,0.995,-0.002673735844773486,0.016541206142186366
pot_bt,KURIL_ISLANDS,0.995,-0.0017499120251534101,0.01585789375184174
pot_bt,KURIL_ISLANDS,0.995,-0.0028474926869709784,0.012602011484203769
pot_bt,KURIL_ISLANDS,0.995,-0.0024221169293076154,0.009812792983593343
pot_bt,KURIL_ISLANDS,0.995,-0.001362914657319533,0.015667863500982933
pot_bt,KURIL_ISLANDS,0.995,-0.0020019961891029436,0.015217790326168943
pot_bt,KURIL_ISLANDS,0.995,-0.0020316972758341848,0.01412758998038423
pot_bt,KURIL_ISLANDS,0.995,-0.002686691577876861,0.015954438867612795
pot_bt,KURIL_ISLANDS,0.995,-0.0008781784293865034,0.018005148491517263
pot_bt,KURIL_ISLANDS,0.995,-0.0014349939323998106,0.014996818990561878
pot_bt,KURIL_ISLANDS,0.995,-0.002738559167576379,0.005690594739424231
pot_bt,KURIL_ISLANDS,0.995,-0.002664550716965035,0.012162077694024429
pot_bt,KURIL_ISLANDS,0.995,-0.0013778145577360813,0.020114597599228387
pot_bt,KURIL_ISLANDS,0.995,-0.0013677021349151035,0.0179845518085406
pot_bt,KURIL_ISLANDS,0.995,-0.001250556647833626,0.01929424961533865
pot_bt,KURIL_ISLANDS,0.995,-0.002693558072460294,0.011329380699577096
pot_bt,KURIL_ISLANDS,0.995,-0.0025609413588729337,0.014705790154555224
pot_bt,KURIL_ISLANDS,0.995,-0.001776800782500267,0.014104334689340301
pot_bt,KURIL_ISLANDS,0.995,-0.0032528380231369508,0.0084446932336869
pot_bt,KURIL_ISLANDS,0.995,-0.0018808516664493436,0.01425354453236302
pot_bt,KURIL_ISLANDS,0.995,-0.0027759401666270045,0.011811792074089451
pot_bt,KURIL_ISLANDS,0.995,-0.0028293398453477867,0.008956227685657079
pot_bt,KURIL_ISLANDS,0.995,-0.001864124849561771,0.01689480421321999
