Experiment Repetition Index,"(0,KS)","(1,KS)","(2,KS)","(0,CHI2)","(1,CHI2)","(2,CHI2)"
0,0.12547203511530663,0.018671206099635636,0.009775513691328256,0.23990686851941134,0.014414974918087416,0.00900488318477548
1,0.1187360175571052,0.016267656041879144,0.008498683205789632,0.20852742192462934,0.014945889738257508,0.00837389211773372
2,0.11673601755674325,0.01814580188750995,0.009488974979502693,0.23187958542929504,0.01539158191214644,0.009062113846078544
3,0.13147203514970163,0.017947032554821187,0.009378461316791712,0.2566862885685379,0.014731832039050584,0.008728728455625077
4,0.1314720351357935,0.017494597438019975,0.009137127488379476,0.22837698869389578,0.014489798666709337,0.00868419429798633
5,0.11073601756195157,0.015490685338117151,0.008705434811797306,0.2467509918782706,0.014215639000675505,0.008244639281741932
6,0.11273601757654704,0.01674049249035401,0.008750949127262693,0.1974863669534954,0.015382948310594488,0.00852259375275129
7,0.12947203510698524,0.016981049975379282,0.009036059695554825,0.26086399702856106,0.014031091632578499,0.008466265169247806
8,0.1314720351069865,0.018577272064948844,0.009944985043279333,0.25011542393343705,0.015843892823896102,0.009412935078320462
9,0.10473601755361812,0.01619149575930045,0.008446310939759298,0.2022307306218837,0.014916969883481592,0.008248488844731939
