Experiment Repetition Index,"(0,KS)","(1,KS)","(2,KS)","(0,CHI2)","(1,CHI2)","(2,CHI2)"
0,0.11273601755583339,0.019444191742584088,0.010399638682462516,0.274875342963478,0.024441231972932354,0.012113786293905443
1,0.12547209191106887,0.02328158484114926,0.01236580269141689,0.31484120015544903,0.0246574612315426,0.013410923841356543
2,0.12673601755354097,0.02324403466191876,0.01236520970616374,0.25663066204189455,0.025512139068428596,0.013736820939925641
3,0.10273601755351332,0.020154749676753233,0.010710323785883021,0.22050510714216612,0.025166274846862083,0.012670663964266271
4,0.11073601755351414,0.019721314339029856,0.01056358632894446,0.3093031682129494,0.024306247132373955,0.012810035762980742
5,0.10473601755351493,0.020957269880081238,0.011199990192195827,0.2854753399388517,0.024921207465164835,0.013104919103128755
6,0.12873601755367114,0.024104247046776005,0.012915087032571555,0.31848318288779287,0.025623842689036686,0.013876959975478702
7,0.12347203510743207,0.023508392353002675,0.012476298147717793,0.2669718715554394,0.025333988797531345,0.013701082794884375
8,0.1147360175536636,0.020980413126439595,0.011295286701772538,0.2827330933522632,0.025473814825561082,0.013457707203579654
9,0.12273601755391207,0.023425321762189578,0.01237908245638464,0.3319409509337643,0.0249912506621944,0.013264216571806457
