Experiment Repetition Index,"(0,KS)","(1,KS)","(2,KS)","(0,CHI2)","(1,CHI2)","(2,CHI2)"
0,0.09801603786926219,0.02415170785217209,0.013071031061026849,0.3027454260418053,0.029855547853212937,0.013843600321050545
1,0.10103207574406106,0.02452597548905476,0.014242591322595583,0.3005587024578135,0.030752833083596776,0.01414807374232973
2,0.10603207574890294,0.027778298017274015,0.015119917366327697,0.29701314674031504,0.029123450428438277,0.014628697394973914
3,0.09301603786926231,0.022522281228508474,0.012420999046611874,0.303377245745328,0.030874017825682498,0.013509871887509498
4,0.10176603786926108,0.024377155601167256,0.013216170656248085,0.3010044745657506,0.029815553453543482,0.00931498782910113
5,0.095516037869262,0.024293613331274784,0.013316849088579979,0.3032938191178573,0.029071025089395238,0.014139218360372841
6,0.10478207581858419,0.024984114391650533,0.013945184325907167,0.3028199686899007,0.029549270086044126,0.013171745275035049
7,0.09853207937485087,0.024335439076726417,0.013472576530521025,0.3033754087612581,0.029832150553081548,0.01451656458890438
8,0.10353207574794267,0.02497341482453809,0.013611863443981331,0.3032101218481509,0.03056319376943668,0.014488670544345836
9,0.10103207574086355,0.024312714190720314,0.014241172685676937,0.301013929619166,0.03010591475372249,0.013994548973077833
