,method,region,quantile,lb,ub
90,opt,ECUADOR,0.95,0.0,0.11374377631935081
91,opt,ECUADOR,0.95,0.012627978814985147,0.14309298247608002
92,opt,ECUADOR,0.95,0.00834111824165773,0.15168043433818557
93,opt,ECUADOR,0.95,0.0,0.13407908097116997
94,opt,ECUADOR,0.95,0.005571065741092215,0.15399429794880276
95,opt,ECUADOR,0.95,,0.0
96,opt,ECUADOR,0.95,0.0,0.1443879253020267
97,opt,ECUADOR,0.95,0.0,0.1447250101528873
98,opt,ECUADOR,0.95,0.00289823965562324,0.20213453271145118
99,opt,ECUADOR,0.95,0.032527086695145285,0.1867155746760619
100,opt,ECUADOR,0.99,0.0,0.13419642900506074
101,opt,ECUADOR,0.99,0.0026236685681476635,0.1679985719084712
102,opt,ECUADOR,0.99,0.008041170375147844,0.22833359551620486
103,opt,ECUADOR,0.99,0.0,0.1046778160491328
104,opt,ECUADOR,0.99,0.0,0.07425235294347199
105,opt,ECUADOR,0.99,0.014518075666905772,0.18700412076375472
106,opt,ECUADOR,0.99,0.0,0.1958318457317033
107,opt,ECUADOR,0.99,0.004952075373766948,0.18738669932377264
108,opt,ECUADOR,0.99,0.0,0.0694100950077007
109,opt,ECUADOR,0.99,0.035098440947232315,0.16964921117693987
110,opt,ECUADOR,0.99,0.0015115841985112247,0.16338541067358878
111,opt,ECUADOR,0.99,0.015612396323751832,0.1927524649486746
112,opt,ECUADOR,0.99,0.0,0.11215819978442458
113,opt,ECUADOR,0.99,0.0002579991117658345,0.08208271109177423
114,opt,ECUADOR,0.99,0.0,0.13510835450297123
115,opt,ECUADOR,0.99,0.0,0.12340960209807109
116,opt,ECUADOR,0.99,0.0,0.14508416768996021
117,opt,ECUADOR,0.99,2.5451439607727944e-05,0.1806778721334133
118,opt,ECUADOR,0.99,0.0,0.10250195558944386
119,opt,ECUADOR,0.99,0.0,0.14017174593827497
120,opt,ECUADOR,0.99,0.0,0.17788940882980325
121,opt,ECUADOR,0.99,0.0,0.08554743703516865
122,opt,ECUADOR,0.99,5.33359211733718e-05,0.06167155077497467
123,opt,ECUADOR,0.99,0.0021443113139104977,0.16350472666506405
124,opt,ECUADOR,0.99,0.0,0.15606369929755137
125,opt,ECUADOR,0.99,0.005475967802918508,0.15622004217304958
126,opt,ECUADOR,0.99,0.0,0.1627124252417128
127,opt,ECUADOR,0.99,6.98749498355064e-05,0.1416806626226504
128,opt,ECUADOR,0.99,0.003189897673288547,0.07514839574464353
129,opt,ECUADOR,0.99,0.012771644096650783,0.20426428453173173
130,opt,ECUADOR,0.99,0.0,0.10493893162332571
131,opt,ECUADOR,0.99,0.0,0.1386535419211095
132,opt,ECUADOR,0.99,0.0,0.12363154895357047
133,opt,ECUADOR,0.99,0.0,0.1714341390939973
134,opt,ECUADOR,0.99,0.0,0.19409497665859954
135,opt,ECUADOR,0.99,0.010312777298917691,0.18046983915658274
136,opt,ECUADOR,0.99,0.0,0.15912033829513378
137,opt,ECUADOR,0.99,0.0,0.0714622762980734
138,opt,ECUADOR,0.99,0.0,0.1017042539176374
139,opt,ECUADOR,0.99,0.026217316705828955,0.13661178681572847
140,opt,ECUADOR,0.99,0.0,0.14286123875588252
141,opt,ECUADOR,0.99,0.0,0.08890590165301122
142,opt,ECUADOR,0.99,0.00035054574132053345,0.0811442449995329
143,opt,ECUADOR,0.99,0.0018339320628430883,0.16434785756049158
144,opt,ECUADOR,0.99,0.0,0.09266501718911456
145,opt,ECUADOR,0.99,0.0,0.15583836637510393
146,opt,ECUADOR,0.99,0.0,0.14374300152690977
147,opt,ECUADOR,0.99,0.0,0.08415073980807546
148,opt,ECUADOR,0.99,0.0,0.08701289989108257
149,opt,ECUADOR,0.99,0.0,0.14046604607742305
150,opt,ECUADOR,0.99,0.004287016630317261,0.1920082751792831
151,opt,ECUADOR,0.99,0.0,0.08459424379239161
152,opt,ECUADOR,0.99,0.0,0.19722886794602343
153,opt,ECUADOR,0.99,0.0,0.1487950522036922
154,opt,ECUADOR,0.99,0.0,0.05806544907766812
155,opt,ECUADOR,0.99,0.0,0.13521240739612367
156,opt,ECUADOR,0.99,0.0024351666482211667,0.15189041335802267
157,opt,ECUADOR,0.99,0.0,0.17339609648855475
158,opt,ECUADOR,0.99,0.002169592065402008,0.19626908383882108
159,opt,ECUADOR,0.99,0.0,0.04020672591196615
160,opt,ECUADOR,0.99,0.009517208490439036,0.18117153515386866
161,opt,ECUADOR,0.99,0.0,0.10134107489616007
162,opt,ECUADOR,0.99,0.0,0.06986697043581178
163,opt,ECUADOR,0.99,0.006983770616360366,0.19851074623818826
164,opt,ECUADOR,0.99,0.0013224661354675968,0.14388363712027846
165,opt,ECUADOR,0.99,0.0007634342047473028,0.1787823198755102
166,opt,ECUADOR,0.99,0.0,0.08859967677056095
167,opt,ECUADOR,0.99,8.876257177401446e-06,0.18118957163194585
168,opt,ECUADOR,0.99,0.0,0.14218683762590534
169,opt,ECUADOR,0.99,0.0,0.04536885555035907
170,opt,ECUADOR,0.99,,0.0
171,opt,ECUADOR,0.99,0.0,0.16736050644048545
172,opt,ECUADOR,0.99,0.0,0.05074858690522954
173,opt,ECUADOR,0.99,0.0,0.07138231886435821
174,opt,ECUADOR,0.99,0.0,0.15330740113644312
175,opt,ECUADOR,0.99,0.0,0.16367463407143806
176,opt,ECUADOR,0.99,0.0,0.14785191137326034
177,opt,ECUADOR,0.99,0.0,0.11256424130498838
178,opt,ECUADOR,0.99,0.006517953721185549,0.18920914830534408
179,opt,ECUADOR,0.99,0.0,0.15327624980218985
180,opt,ECUADOR,0.99,0.019882834344732744,0.22365388677812598
181,opt,ECUADOR,0.99,0.00019626131704844618,0.17936136034477274
