Data Source,nData,percentageLHS,Upper Bound,True Value,Repetition Index
gamma,500,0.9,0.0004705167690684933,0.005,109
gamma,500,0.9,0.006094614438733559,0.005,110
gamma,500,0.9,0.0013930687901571818,0.005,111
gamma,500,0.9,0.005802963496706474,0.005,112
gamma,500,0.9,0.005589547038094411,0.005,113
gamma,500,0.9,0.004889196324288834,0.005,114
gamma,500,0.9,0.004583365896838952,0.005,115
gamma,500,0.9,0.00559731778120922,0.005,116
gamma,500,0.9,0.00674797729079871,0.005,117
gamma,500,0.9,0.00022905589529800873,0.005,118
gamma,500,0.9,0.005550607685063128,0.005,119
gamma,500,0.9,0.0001077415745950641,0.005,120
gamma,500,0.9,0.005180178459482908,0.005,121
gamma,500,0.9,6.938699806680424e-05,0.005,122
gamma,500,0.9,0.005792477286477428,0.005,123
gamma,500,0.9,0.0050414531064640975,0.005,124
gamma,500,0.9,0.0060415168202024045,0.005,125
gamma,500,0.9,0.007387406452243662,0.005,126
gamma,500,0.9,0.005449934459512074,0.005,127
gamma,500,0.9,0.005635448207392718,0.005,128
gamma,500,0.9,0.0002186945825074715,0.005,129
gamma,500,0.9,0.0053712962554444766,0.005,130
gamma,500,0.9,0.006445057617926662,0.005,131
gamma,500,0.9,5.448432336023069e-05,0.005,132
gamma,500,0.9,0.004929308594223718,0.005,133
gamma,500,0.9,0.005249282376423559,0.005,134
gamma,500,0.9,0.006903093061225857,0.005,135
gamma,500,0.9,0.00543081055143838,0.005,136
gamma,500,0.9,0.005265997409745249,0.005,137
gamma,500,0.9,0.005019512004818196,0.005,138
gamma,500,0.9,0.005117124883755739,0.005,139
gamma,500,0.9,0.005302559877040187,0.005,140
gamma,500,0.9,0.005584861800143711,0.005,141
gamma,500,0.9,0.005254887816413218,0.005,142
gamma,500,0.9,0.005508561432003602,0.005,143
gamma,500,0.9,0.00598561315112801,0.005,144
gamma,500,0.9,0.004586116743005204,0.005,145
gamma,500,0.9,0.00017154693198611563,0.005,146
gamma,500,0.9,4.25353822454639e-05,0.005,147
gamma,500,0.9,0.004801525633697634,0.005,148
gamma,500,0.9,2.338194921848928e-05,0.005,149
gamma,500,0.9,0.005330351101394094,0.005,150
gamma,500,0.9,0.006000375190493774,0.005,151
gamma,500,0.9,0.0048423619658558795,0.005,152
gamma,500,0.9,6.814701214651276e-05,0.005,153
gamma,500,0.9,0.004972849540842435,0.005,154
gamma,500,0.9,0.005206169335343878,0.005,155
gamma,500,0.9,0.008274602466294263,0.005,156
gamma,500,0.9,0.0054369660030010505,0.005,157
gamma,500,0.9,0.0062075945588874705,0.005,158
gamma,500,0.9,0.005108922049347878,0.005,159
