Experiment Repetition Index,"(0,CHI2)","(1,CHI2)","(2,CHI2)"
0,11.615412742487017,9.606221301703954,9.306541799260145
1,11.669345358264508,9.559307926133066,9.203763083571904
2,11.901787958343716,9.815619802902866,9.44036721910123
3,13.256177485205356,10.68621773681242,10.204736086593087
4,11.571593180754446,9.5387865478524,9.230694012107957
5,13.950159500373385,11.002915095285015,10.401116603524368
6,11.23872181022354,9.282351717332775,8.917613569695426
7,13.552604791770198,10.906286880713946,10.441226345800485
8,12.362760642574658,10.115692176248778,9.75576763508803
9,11.721993368862758,9.543233622616514,9.19182076031873
