Experiment Repetition Index,"(0,CHI2)","(1,CHI2)","(2,CHI2)"
0,138.59483768905238,99.96462458660316,94.10851579371845
1,219.14978306379186,155.61055573449283,145.13508688632015
2,68.98977871867652,51.80660773112872,49.20422735869161
3,106.75017672690927,77.9558655435725,73.62261474444924
4,136.5410300447282,98.72656012153624,93.00313685760912
5,108.79335384775273,79.43937092247756,74.99748002650139
6,110.93706718799265,81.21717309848063,76.74966113773652
7,101.31731291605578,74.41404970816923,70.3691881350467
8,112.47856879943308,82.13896020414549,77.5645333464752
9,233.4549253221558,164.23111094213118,150.5703035642965
