Experiment Repetition Index,"(0,CHI2)","(1,CHI2)","(2,CHI2)"
0,25.480918912971944,13.152598088692972,11.978898940451296
1,12.936674987239769,9.68843051438077,9.177373383984289
2,18.193676088740144,13.174967703506546,12.252697079133931
3,18.248853163933088,12.446765638845271,11.324766772067568
4,11.595661267695732,8.832666586411518,8.422729949322125
5,31.851336655942216,16.998336917144606,15.389334033384356
6,13.289438463499831,9.93390585433724,9.37839878030027
7,30.88568643408725,16.590438938848507,15.072359558823152
8,15.44882667088145,11.424322646234959,10.725738370770316
9,14.20911634519774,10.076113040595189,9.182016885622847
