Experiment Repetition Index,"(0,CHI2)","(1,CHI2)","(2,CHI2)"
0,16.494430732210205,12.486075997014426,11.876153317206011
1,16.275045561705603,12.308101106939535,11.712863636925281
2,15.819181593844277,12.067143701570494,11.51212062907803
3,17.553918158963896,13.283222891923053,12.643532445362013
4,16.209822271310962,12.258425445823068,11.646009467243614
5,19.11793900037644,14.374774015275854,13.703349170530657
6,15.253660604924123,11.676021121645551,11.140912866553455
7,17.87412312324691,13.523916321204085,12.890111356668044
8,16.989574890567244,12.86483097452441,12.223753834149935
9,15.63859597251324,11.890502722902626,11.334359314914426
