Data Source,nData,percentile,Lower Bound,Upper Bound,True Value,Repetition Index
gamma,30,0,0.0,0.0,0.005,188
gamma,30,0,-0.02016164750875858,0.029566417162483212,0.005,189
gamma,30,0,0.0,0.0,0.005,190
gamma,30,0,-0.008591433121937693,0.01747399064187367,0.005,191
gamma,30,0,-0.026380843463970207,0.04909532335991278,0.005,192
gamma,30,0,-0.007922861291057641,0.016423648844595753,0.005,193
gamma,30,0,0.0,0.0,0.005,194
gamma,30,0,0.0,0.0,0.005,195
gamma,30,0,-0.011315647426081925,0.021347834977832582,0.005,196
gamma,30,0,0.0,0.0,0.005,197
gamma,30,0,-0.01240048875976997,0.02392462734628663,0.005,198
gamma,30,0,0.0,0.0,0.005,199
