Data Source,nData,percentile,Lower Bound,Upper Bound,True Value,Repetition Index
lognorm,30,0,-0.005308205351823043,0.00696359900041273,0.005,123
lognorm,30,0,-0.025275409764314555,0.035876893574932824,0.005,124
lognorm,30,0,-0.007167491599999337,0.02670826703983375,0.005,125
lognorm,30,0,-0.017358524467474764,0.021916995461568476,0.005,126
lognorm,30,0,-0.03386715104309774,0.04701392956476528,0.005,127
lognorm,30,0,-0.007903829061356683,0.018071310264258244,0.005,128
lognorm,30,0,-0.0121368381636427,0.025101899758009617,0.005,129
lognorm,30,0,-0.006142302691255638,0.010799651805613507,0.005,130
lognorm,30,0,-0.008010962719061598,0.023223875220945524,0.005,131
lognorm,30,0,-0.010098676579488366,0.017064237649006504,0.005,132
lognorm,30,0,-0.005870436212024436,0.03143117340622028,0.005,133
lognorm,30,0,-0.006658133834078721,0.007883920972192152,0.005,134
lognorm,30,0,-0.005764007046447845,0.006735811979330159,0.005,135
lognorm,30,0,0.0,0.0,0.005,136
lognorm,30,0,-0.010763327752994909,0.0286742859979122,0.005,137
lognorm,30,0,0.0,0.0,0.005,138
lognorm,30,0,0.0,0.0,0.005,139
lognorm,30,0,-0.00016653165655261922,0.0001717558320029438,0.005,140
lognorm,30,0,-0.008943402913070116,0.010064140230986396,0.005,141
lognorm,30,0,-0.011755435451524618,0.01696202727004343,0.005,142
lognorm,30,0,-0.005022327026831918,0.005711358591933412,0.005,143
lognorm,30,0,-0.004851266713783929,0.021276126301195686,0.005,144
lognorm,30,0,-0.014233579114610796,0.023527520996011755,0.005,145
lognorm,30,0,0.0,0.0,0.005,146
lognorm,30,0,0.0,0.0,0.005,147
lognorm,30,0,0.0,0.0,0.005,148
lognorm,30,0,-0.010887018095085894,0.023577902933367256,0.005,149
lognorm,30,0,-0.016512629735477718,0.04381895302622994,0.005,150
lognorm,30,0,-0.00571524744135438,0.013847560449632236,0.005,151
lognorm,30,0,-0.004739573639600123,0.006147157949022216,0.005,152
lognorm,30,0,0.0,0.0,0.005,153
lognorm,30,0,-0.01775835819977436,0.024372728765842244,0.005,154
lognorm,30,0,0.0,0.0,0.005,155
lognorm,30,0,-0.014310847747770417,0.018503319020520857,0.005,156
lognorm,30,0,0.0,0.0,0.005,157
lognorm,30,0,-0.010562203409074626,0.013157047806637102,0.005,158
lognorm,30,0,0.0,0.0,0.005,159
lognorm,30,0,0.0,0.0,0.005,160
lognorm,30,0,-0.016394624970228807,0.02606674838213123,0.005,161
lognorm,30,0,-0.01277997954090398,0.020963071029193515,0.005,162
lognorm,30,0,0.009322445710647618,0.024899707918488563,0.005,163
lognorm,30,0,-0.03033847364164699,0.032647885402677754,0.005,164
lognorm,30,0,-0.02471693479762384,0.03221122029089158,0.005,165
lognorm,30,0,-0.014661257818477725,0.025347747509116714,0.005,166
lognorm,30,0,0.0,0.0,0.005,167
lognorm,30,0,0.0,0.0,0.005,168
lognorm,30,0,-0.008263511072764558,0.027124617018713274,0.005,169
lognorm,30,0,0.0,0.0,0.005,170
lognorm,30,0,-0.008416549747476338,0.010163193852474812,0.005,171
lognorm,30,0,-0.004770990355939484,0.013111960682026531,0.005,172
lognorm,30,0,-0.01478746553426428,0.02006717787459508,0.005,173
lognorm,30,0,-0.017000674211052332,0.02285368661532032,0.005,174
lognorm,30,0,-0.012362434688314128,0.014749683328894633,0.005,175
lognorm,30,0,-0.007894079061162813,0.009553168147090856,0.005,176
lognorm,30,0,0.0,0.0,0.005,177
lognorm,30,0,0.0,0.0,0.005,178
lognorm,30,0,-0.013528770330925522,0.016027729687977298,0.005,179
lognorm,30,0,0.0,0.0,0.005,180
lognorm,30,0,-0.00833722423008868,0.039126748387131385,0.005,181
lognorm,30,0,0.0,0.0,0.005,182
lognorm,30,0,0.0,0.0,0.005,183
lognorm,30,0,-0.07026165578771873,0.10542188971627092,0.005,184
lognorm,30,0,-0.0076855990182077925,0.021477798115367645,0.005,185
lognorm,30,0,0.0,0.0,0.005,186
lognorm,30,0,-0.004552952420458934,0.0047882065193048315,0.005,187
lognorm,30,0,-0.006287158681575411,0.014594588252591302,0.005,188
lognorm,30,0,-0.002921195998064796,0.0030907020787167556,0.005,189
lognorm,30,0,-0.013498490654659813,0.019732539460533893,0.005,190
lognorm,30,0,0.0,0.0,0.005,191
lognorm,30,0,-0.007433788466285707,0.025405535834433793,0.005,192
lognorm,30,0,-0.004950414241729545,0.006857240017027581,0.005,193
lognorm,30,0,0.0,0.0,0.005,194
lognorm,30,0,0.0,0.0,0.005,195
lognorm,30,0,-0.01005606290658314,0.014230940616820148,0.005,196
lognorm,30,0,0.0,0.0,0.005,197
lognorm,30,0,0.0,0.0,0.005,198
lognorm,30,0,0.0,0.0,0.005,199
