Experiment Repetition Index,"(0,KS)","(1,KS)","(2,KS)","(0,CHI2)","(1,CHI2)","(2,CHI2)"
0,0.07926603787232551,0.022097134559555868,0.01210525373698682,0.18829090095877044,0.024163814801614718,0.012788112174806516
1,0.09301603812158724,0.02381781902066602,0.013002792995876788,0.2125776015350354,0.023757433025940442,0.01304175122026469
2,0.08926603790006638,0.024430479426817503,0.01342190997934887,0.1483359936429572,0.025852173271821183,0.013850895623860996
3,0.0755160378770207,0.02043303974461931,0.011180525788367708,0.15387033142175677,0.02401566261520663,0.01273409142566917
4,0.08676603796398347,0.022577665362885063,0.012440020527468513,0.2079479141375814,0.02332734016613184,0.01286619469839998
5,0.08051603787164319,0.021264034176221035,0.01186606192229145,0.1733133105660161,0.024485292313303212,0.013116931066932219
6,0.09301603809732985,0.023860978212160436,0.012993921214815076,0.19412376504127876,0.024402197632806287,0.013572846442417194
7,0.09426603830367923,0.022523499025657978,0.012277764388646847,0.1742797514934665,0.02447201038429226,0.013383929080226054
8,0.08426603788893437,0.02266924135132747,0.012509879721185,0.1796986921209519,0.02463172515214338,0.013345049372835783
9,0.08551603826609058,0.02397789362162245,0.013045882867386623,0.21256028812771832,0.02487666657960434,0.013557974267544633
