Experiment Repetition Index,"(0,CHI2)","(1,CHI2)","(2,CHI2)"
0,14.286880051908959,11.283576128959927,10.853646868138592
1,14.067374741291795,11.096265381038819,10.666262649585148
2,13.709310381462359,10.902581686440493,10.497165319381779
3,15.085285480171619,11.880307647833993,11.411538338593889
4,14.041203157288773,11.126325728803145,10.705172619918745
5,16.225933872906403,12.67953505550551,12.151305100895488
6,13.264638498425136,10.581785874037411,10.19317747685654
7,15.35676759974152,12.096401232965256,11.61439742535276
8,14.674361208436961,11.588767995707133,11.143931796449952
9,13.534722258830744,10.723435234584624,10.315008593734447
