Experiment Repetition Index,"(0,KS)","(1,KS)","(2,KS)","(0,CHI2)","(1,CHI2)","(2,CHI2)"
0,0.07551607954309587,0.023515432358006582,0.013125235528871612,0.1660530028405808,0.030735426479532493,0.015254966953857217
1,0.07176603828789524,0.022228575343450255,0.012246280494116154,0.14016456632811072,0.02682759815415365,0.013434851076495979
2,0.08301603786926633,0.02446394011088839,0.013529788413641745,0.18047593199949397,0.03171568038618852,0.015783080406009727
3,0.07551607954309587,0.023000666646434135,0.012577352264771736,0.15942118139575412,0.02990012548030724,0.014723559810302572
4,0.08176603795113051,0.023074950176821846,0.012741031387823397,0.13703514559951296,0.02634241121402352,0.013223245705434586
5,0.08426603786926715,0.023873615455002106,0.013483096173717743,0.21421610659086857,0.031050144783153853,0.016094367519116744
6,0.07676603811638635,0.02202604766959688,0.012152001059380442,0.14390751043223757,0.027633582174478928,0.013826284721214086
7,0.08551603786928118,0.023105185044639907,0.01270513221118878,0.20851470715274872,0.031522217647058974,0.015955236811068176
8,0.07926603787066504,0.02423746978486605,0.013405195652247954,0.16410376041003844,0.031684042792098216,0.01575864828939382
9,0.06926603798052151,0.02085322141661157,0.01152089615815522,0.13413399145414864,0.025320257263566785,0.012713707084187911
