Experiment Repetition Index,"(0,KS)","(1,KS)","(2,KS)","(0,CHI2)","(1,CHI2)","(2,CHI2)"
0,0.06273601834100308,0.04504150212575428,0.03248397716464568,0.05717353346470458,0.026601430590650572,0.01901460481268505
1,0.07073601755354346,0.047129525575165594,0.032498224277062414,0.07513700152104519,0.03666430862474495,0.026188941643177668
2,0.07073601755354346,0.04964164757337496,0.034230774993485556,0.08893488757869268,0.04392501928609227,0.03088367862214978
3,0.07273601755352588,0.049297003250845045,0.0341792681089261,0.14119088770101781,0.07106585423334402,0.04965522997065887
4,0.0627360175552084,0.04894738401691141,0.03394276417296014,0.02671034906834681,0.011902527841608983,0.009970939932793835
5,0.08273601755352727,0.054787448544057836,0.03786956590221635,0.24861763251906216,0.10374862400721326,0.03606547910646202
6,0.06873601755355944,0.04839346080278588,0.03322132274605875,0.06456629807078251,0.03110656351368283,0.02222385883599995
7,0.07873601755351263,0.050622569208417935,0.03439409260217689,0.14541661230697972,0.07323292152923765,0.04764457045336162
8,0.07273601755352588,0.04461381399673678,0.03113141534971998,0.06982212506675105,0.03322677833349519,0.023901620691685804
9,0.0627360175552084,0.043416898850785514,0.029538668322226173,0.025112610896652638,0.011448007981705656,0.009605303977400434
