Experiment Repetition Index,"(0,KS)","(1,KS)","(2,KS)","(0,CHI2)","(1,CHI2)","(2,CHI2)"
0,0.1035320770914081,0.025058573684428192,0.013704483675931096,0.28165609715707907,0.028500478779431977,0.014740047964565258
1,0.10228207743257829,0.023096705595191627,0.012733806023822661,0.2821943249536214,0.026938389235158136,0.01445151787436363
2,0.10228207574118325,0.025122866471631505,0.014058611696212437,0.2790241769144719,0.027276014680104717,0.013775529926104643
3,0.10228207577144595,0.02342805561155405,0.012925764002601026,0.28167859981723575,0.027601084966323963,0.01447303048506633
4,0.1035320760173604,0.024146323062350507,0.013189053327907107,0.28031425775765817,0.02696327131309398,0.014745889492796281
5,0.1010320760222835,0.025398672549366397,0.01380050612345999,0.27999638784139197,0.027711739369267487,0.013125753612817074
6,0.0997820782893693,0.023361871357091894,0.012912076981660475,0.2822372362289705,0.0274022228290823,0.014995292929962368
7,0.10103207575251401,0.024593923907346004,0.013762834422157293,0.27989323206264327,0.028270422038024795,0.013639976945556166
8,0.10603207574143812,0.02474322748726096,0.014330139175617684,0.2811373156245486,0.027565661056699317,0.014658716898890506
9,0.09176603786926174,0.02229427374749995,0.012186572626221862,0.28200322480121476,0.02749280631899691,0.014781031258251753
