Experiment Repetition Index,"(0,KS)","(1,KS)","(2,KS)","(0,CHI2)","(1,CHI2)","(2,CHI2)"
0,0.11273601756931305,0.029121007021551588,0.016115373487584638,0.27652825908316114,0.04312806231101354,0.02203141667242802
1,0.11073601759195474,0.026128727698877724,0.014319710777012912,0.33761033965243903,0.04300173151632157,0.0219302157283063
2,0.10873601762769862,0.029276228100443058,0.01589393690110692,0.3878874629177316,0.04300541504304203,0.021907716208016424
3,0.10873601762769862,0.025800999001104805,0.014126274867794464,0.40938180388980355,0.04238783478795803,0.020265520607468977
4,0.11073601771304774,0.02681757346503196,0.014626524228242215,0.24042416443709513,0.042015096628756174,0.020488498268511207
5,0.11873601755350885,0.031559724139817204,0.017065796503955937,0.4086444553161974,0.04265237118064892,0.01699039592852643
6,0.10873601755373306,0.02612697527043692,0.014365390065690696,0.3004058013043295,0.04362658448408316,0.021692351761722434
7,0.1127360176343702,0.027498791138701947,0.015167686818937941,0.40959144249069235,0.04243348968102752,0.019625223923358723
8,0.10873601755748359,0.026959764965739364,0.015058105414396901,0.3201723947289307,0.0428271618697456,0.021772825148498886
9,0.09273604105616337,0.023786841111512125,0.013026503227186941,0.20799968220376527,0.03920881813474123,0.01910089136812944
