Experiment Repetition Index,"(0,KS)","(1,KS)","(2,KS)","(0,CHI2)","(1,CHI2)","(2,CHI2)"
0,0.08673603191959531,0.030734467806844835,0.017824978724301072,0.16630052359128494,0.04431180952938255,0.02353024952454236
1,0.08673602104628289,0.03086938724511108,0.01758648647357888,0.20353916660333957,0.05455481490347165,0.028087682533452417
2,0.09273605362124131,0.032613111229350546,0.018643525790462738,0.24030178836117272,0.060164924190133584,0.03030769551942129
3,0.0907360175600515,0.03165909723228759,0.017784668275747095,0.36159233321270823,0.06188223767716508,0.029538511666889717
4,0.0907360175587969,0.03201772483067442,0.018090795666235858,0.14551834951721881,0.03814959388694769,0.020171955654677824
5,0.10073606480535405,0.03449677508184249,0.019988559446495267,0.3992813131135525,0.06184727789980932,0.026182445454163632
6,0.08873601805348574,0.03068683212188757,0.017369922588887497,0.17986380207963876,0.0483908825506396,0.025629534677977184
7,0.09673601757217133,0.0317897139337746,0.018150353880266857,0.36813582766001834,0.062087186749153776,0.03027516595118123
8,0.08073601756406452,0.029921686476950798,0.01700865352314438,0.1928618395283578,0.051616218573751024,0.02716487691142632
9,0.08073601756406452,0.02659378241631015,0.015579704430026415,0.1257371999713699,0.03280655154424084,0.01734600138036394
