Experiment Repetition Index,"(0,KS)","(1,KS)","(2,KS)","(0,CHI2)","(1,CHI2)","(2,CHI2)"
0,0.10273601755350514,0.02567046829302077,0.014195371542725212,0.21622297484743117,0.026705295296608637,0.012050501912087511
1,0.11673601756029582,0.02914771415854579,0.01606562808848089,0.21437009562198822,0.024640029131208666,0.00974566975323497
2,0.10673601755423931,0.030007237741506567,0.016493673210226302,0.2170078015298062,0.025952749139220306,0.011833955020596545
3,0.09473601756051456,0.025660928636110292,0.014227150123210514,0.21556108658385942,0.025283930072772277,0.012195771204428718
4,0.1007360175567709,0.026402540470831293,0.014465988607642132,0.21418127576826818,0.025069040466042143,0.011193352350681696
5,0.09473601812441675,0.02685660970750359,0.014953869822101722,0.215343258655735,0.02604194770629148,0.011825331186631455
6,0.1147360175587084,0.030418799665075543,0.016882269987854134,0.21430895186194376,0.024521943815843966,0.010534592743673962
7,0.11473602019977475,0.028798257553476852,0.015889313148892557,0.21700400838692344,0.024182852517627813,0.010481205133315543
8,0.09873601755634753,0.026470422068160197,0.014634005092809977,0.21601520901270774,0.026401482672491414,0.01249942574213044
9,0.11473601755499453,0.030561628824557648,0.016805297406973212,0.21221644065144468,0.027471553288209594,0.012428757927653028
